occupation_id,category,specialty,nhs_band
355,Medical & Dental,Medicine,Consultant
356,Medical & Dental,Bassetlaw Old Age Psychiatry,Specialty Doctor
357,Medical & Dental,General Medical Practitioner,
358,Medical & Dental,Neurophysiology,Consultant
359,Medical & Dental,Haematology,Doctor - Other
360,Medical & Dental,Major Trauma,Doctor - Other
361,Medical & Dental,Obstetrics & Gynaecology,
362,Medical & Dental,Respiratory Medicine,Specialty Registrar
363,Medical & Dental,Chronic Pain management,Consultant
364,Medical & Dental,Orthopaedics,Consultant
365,Medical & Dental,POPS - Ageing and Health,Doctor - Other
366,Medical & Dental,Stroke Medicine,Consultant
367,Medical & Dental,Clinical Haematology,Specialty Registrar
368,Medical & Dental,Trauma and Orthopaedics,Foundation Doctor
369,Medical & Dental,Anaesthesia,
370,Medical & Dental,OOPE in Anaesthetics,
371,Medical & Dental,Junior Clinical Fellow in Critical Care,
372,Medical & Dental,Critical Care,
373,Medical & Dental,General medicine,
374,Medical & Dental,Diabetes & Endocrinology,Specialty Registrar
375,Medical & Dental,Acute Medicine,Foundation Doctor
376,Medical & Dental,Trauma and Orthopaedics,Consultant
377,Medical & Dental,Consultant Psychiatrist – Learning Disability Psychiatry in West Cheshire,
378,Medical & Dental,Specialist & Planned Care,
379,Medical & Dental,Paediatric Anaesthesia,Specialty Registrar
380,Medical & Dental,Acute Internal Medicine,
381,Medical & Dental,Haematology,Specialty Registrar
382,Medical & Dental,Orthdonics,Consultant
383,Medical & Dental,Pain Medicine,Consultant
384,Medical & Dental,General Medicine & Rheumatology,Specialty Registrar
385,Medical & Dental,Public Health,Consultant
386,Medical & Dental,General Medicine,Specialty Registrar
387,Medical & Dental,Radiology,
388,Medical & Dental,Westcall Out of Hours,
389,Medical & Dental,Orthopaedic Hip & Knee,
390,Medical & Dental,Vascular Surgery,Consultant
391,Medical & Dental,Surgery/Medicine,Specialty Registrar
392,Medical & Dental,Stroke Department,
393,Medical & Dental,Acute Medicine,Consultant
394,Medical & Dental,Corporate,Doctor - Other
395,Medical & Dental,Eating Disorders Service,Specialty Doctor
396,Medical & Dental,Ophthalmology - Glaucoma,
397,Medical & Dental,General Medicine-Respiratory,
398,Medical & Dental,Neuroradiology,
399,Medical & Dental,CARDIOLOGY,Specialty Doctor
400,Medical & Dental,Cardio Respiratory,
401,Medical & Dental,"In-Patient, Rehabilitation & Crisis",Specialty Registrar
402,Medical & Dental,Phlebotomy,
403,Medical & Dental,PAEDIATRICS,Specialty Registrar
404,Medical & Dental,Medicine or Emergency Medicine,Doctor - Other
405,Medical & Dental,Hepatology,Doctor - Other
406,Medical & Dental,Older Adult Psychiatry,Consultant
407,Medical & Dental,Trauma,
408,Medical & Dental,Stroke Medicine,Specialty Doctor
409,Medical & Dental,ENT,
410,Medical & Dental,Specialist Medicine,
411,Medical & Dental,General Medicine,Doctor - Other
412,Medical & Dental,Oral & Maxillofacial Surgery,
413,Medical & Dental,Surgery,
414,Medical & Dental,HPB Surgery,
415,Medical & Dental,Medicine,Specialty Doctor
416,Medical & Dental,Paediatrics & Neonates,Specialty Registrar
417,Medical & Dental,Ophthalmology,Consultant
418,Medical & Dental,Emergency Department,Doctor - Other
419,Medical & Dental,Forensic Rehab,Consultant
420,Medical & Dental,Older Adults Psychiatry,
421,Medical & Dental,Surgery - Orthopaedics,Specialty Registrar
422,Medical & Dental,Cardiac Surgery,Specialty Doctor
423,Medical & Dental,Urgent & Emergency Care,Consultant
424,Medical & Dental,Medicine for the Elderly,Consultant
425,Medical & Dental,Medicine for the Elderly,Specialty Doctor
426,Medical & Dental,Emergency Department,Specialty Doctor
427,Medical & Dental,Neurophysiology,
428,Medical & Dental,with a specialist interest in head and neck surgery and microvascular reconstruction,Consultant
429,Medical & Dental,Urgent & Primaru,
430,Medical & Dental,T& O Upper Limb Shoulder and Elbow,
431,Medical & Dental,Medicine & Urgent Care,Doctor - Other
432,Medical & Dental,Gastro,Consultant
433,Medical & Dental,Medical Practitioner,
434,Medical & Dental,ENT Surgery,Consultant
435,Medical & Dental,"In-Patient, Rehabilitation & Crisis",Consultant
436,Medical & Dental,Medicine,Doctor - Other
437,Medical & Dental,CAMHS Learning Disability,Consultant
438,Medical & Dental,Forensic Mental Health,
439,Medical & Dental,Salaried GP,
440,Medical & Dental,Breast Radiologist,Consultant
441,Medical & Dental,Medicine for Older People,Doctor - Other
442,Medical & Dental,General Practitioner with Special Interest in Emergency Medicine,Specialty Doctor
443,Medical & Dental,General Adult,Consultant
444,Medical & Dental,Obs and Gynae,
445,Medical & Dental,Paediatric Surgery,
446,Medical & Dental,Child & Adolescent Medical,
447,Medical & Dental,Junior Clinical Fellow,Doctor - Other
448,Medical & Dental,Mental Health Service,Consultant
449,Medical & Dental,"Paediatrics, Safeguarding",
450,Medical & Dental,Urgent & Emergency Care CBU,Doctor - Other
451,Medical & Dental,Community Paediatrics,Consultant
452,Medical & Dental,Integrated Medicine & Community CBU,Doctor - Other
453,Medical & Dental,Diabetes and Endocrinology,Consultant
454,Medical & Dental,Thoracic Surgery,Doctor - Other
455,Medical & Dental,Chronic Pain Department,
456,Medical & Dental,Histopathology,
457,Medical & Dental,Older Adult Mental Health,Specialty Doctor
458,Medical & Dental,Sexual Health,Consultant
459,Medical & Dental,paediatrics and neonatology,
460,Medical & Dental,Endocrine and Diabeties,Consultant
461,Medical & Dental,Palliative Medicine,Consultant
462,Medical & Dental,Education,
463,Medical & Dental,Community Health Services,Specialty Doctor
464,Medical & Dental,Walton Surgery,
465,Medical & Dental,Adult Psychiatry,Specialty Doctor
466,Medical & Dental,Genomic Medicine,
467,Medical & Dental,Respiratory,Specialty Registrar
468,Medical & Dental,NHS111/OOHs/Extended Acces,
469,Medical & Dental,"Elderly Care, Geriatric and General Medicine",Doctor - Other
470,Medical & Dental,Lung Desease,Consultant
471,Medical & Dental,Neck Cancer Surgeon,Consultant
472,Medical & Dental,Emergencr Medicine,Doctor - Other
473,Medical & Dental,Acute,Consultant
474,Medical & Dental,Anaesthesia and Critical Care,Specialty Doctor
475,Medical & Dental,ACUTE MEDICINE,Consultant
476,Medical & Dental,paediatric orthopaedics,
477,Medical & Dental,Head & Neck Pathology,Consultant
478,Medical & Dental,sleep medicine,
479,Medical & Dental,Simulation,Specialty Registrar
480,Medical & Dental,Otolaryngology,Doctor - Other
481,Medical & Dental,Mental Health Services for Older People,
482,Medical & Dental,Speciality Doctor,
483,Medical & Dental,Trauma &Orthopaedics,
484,Medical & Dental,Medical Bank,
485,Medical & Dental,Medical Education and any Base specialty considered,Doctor - Other
486,Medical & Dental,Dermatology,Doctor - Other
487,Medical & Dental,General adult,Specialty Doctor
488,Medical & Dental,Urgent Care,
489,Medical & Dental,Colorectal Surgery,Specialty Registrar
490,Medical & Dental,OPMH Psychiatry,
491,Medical & Dental,Orthodontics,Specialty Doctor
492,Medical & Dental,NHS111/OOHs,
493,Medical & Dental,Quality,
494,Medical & Dental,49086,Specialty Registrar
495,Medical & Dental,Neonates,Consultant
496,Medical & Dental,Specialised Medicine,Specialty Registrar
497,Medical & Dental,General Surgey,Specialty Doctor
498,Medical & Dental,Neonatology,Consultant
499,Medical & Dental,Private Patients,Specialty Registrar
500,Medical & Dental,Old Age Psychiatry,Consultant
501,Medical & Dental,Cardiothoracic Anaesthesia and Critical Care,Doctor - Other
502,Medical & Dental,Acute and General Medicine,
503,Medical & Dental,Acute Care,Specialty Registrar
504,Medical & Dental,Salaried with a view to Partnership,
505,Medical & Dental,General Surgery / Education,Doctor - Other
