salary_id,minimum_salary,maximum_salary,salary_type,pay_band
1359,41063.0,41063.0,YEAR,7
1360,18669.0,20037.0,YEAR,2
1361,40141.0,50068.0,YEAR,Specialty Registrar
1362,36511.0,36511.0,YEAR,Specialty Registrar
1363,81000.0,187714.0,YEAR,Doctor - Other
1364,30000.0,30000.0,YEAR,7
1365,36511.0,50068.0,YEAR,Specialty Registrar
1366,68292.0,88663.0,YEAR,Consultant
1367,45750.0,45750.0,YEAR,
1368,25000.0,25000.0,YEAR,7
1369,14830.0,14830.0,YEAR,Doctor - Other
1370,79860.0,107658.0,YEAR,Consultant
1371,90000.0,110000.0,YEAR,Specialty Doctor
1372,33250.0,39000.0,YEAR,
1373,33790.0,50068.0,YEAR,
1374,17000.0,17000.0,YEAR,5
1375,31841.0,42126.0,YEAR,Specialty Doctor
1376,31847.0,50068.0,YEAR,Specialty Registrar
1377,44606.0,44606.0,YEAR,7
1378,77903.0,105042.0,YEAR,Consultant
1379,37570.0,43772.0,YEAR,8a
1380,38156.0,46096.0,YEAR,Specialty Registrar
1381,79860.0,107868.0,YEAR,Consultant
1382,77100.0,77100.0,YEAR,
1383,31841.0,36511.0,YEAR,Specialty Registrar
1384,89856.0,107668.0,YEAR,
1385,40037.0,74661.0,YEAR,Foundation Doctor
1386,70000.0,77913.0,YEAR,
1387,10766.0,79860.0,YEAR,Consultant
1388,37191.0,47132.0,YEAR,Foundation Doctor
1389,18966.0,19701.0,YEAR,
1390,37935.0,37935.0,YEAR,Specialty Doctor
1391,83850.0,83850.0,YEAR,
1392,40629.0,60944.0,YEAR,
1393,6724.0,6724.0,YEAR,Specialty Doctor
1394,33221.0,50068.0,YEAR,Doctor - Other
1395,117000.0,117000.0,YEAR,Doctor - Other
1396,49500.0,49500.0,YEAR,8a
1397,27511.0,32817.0,YEAR,
1398,77779.0,100977.0,YEAR,Consultant
1399,80000.0,105000.0,YEAR,Doctor - Other
1400,27689.0,27689.0,YEAR,
1401,90000.0,120000.0,YEAR,Doctor - Other
